WikiArticle	Language	Programming	Computer	Software	Hardware	Data	Player	Online	System	Development	Machine	Console	Developer	Design	History	Technology	Standard	Information	Article	Example	Game	Programming	Action	Company	Latest	Version	Released	Character	Main	Line	Code	Series
Microsoft_Windows	0	21	1	17	24	6	5	5	2	66	10	1	7	5	6	13	0	6	4	11	0	1	2	2	10	88	38	1	16	4	1	5
Minecraft	0	2	3	9	1	2	3	18	13	11	10	0	9	4	3	2	0	1	1	7	2	156	0	4	1	49	34	4	7	0	2	3
MIT	0	1	1	23	3	0	5	0	6	12	14	3	0	0	11	34	79	2	9	9	6	0	0	7	0	2	1	2	12	2	1	1
Mobile_device	0	0	0	10	2	1	3	1	2	3	1	0	2	0	0	1	3	0	5	4	2	3	0	0	0	1	0	0	1	0	0	0
Mobile_game	0	4	6	3	8	5	2	1	3	3	7	0	8	1	6	4	3	0	3	8	4	64	2	0	0	3	4	2	4	1	0	2
Mod_(computer_gaming)	0	0	2	7	13	1	1	3	2	2	10	0	0	5	10	3	2	1	2	5	14	118	1	2	0	8	5	3	1	1	4	7
Mod_(video_gaming)	0	0	2	6	13	1	1	3	2	2	10	0	0	5	10	3	2	1	2	5	14	118	1	2	0	8	5	3	1	1	4	7
Movie_theater	0	3	3	0	0	0	0	0	2	13	4	0	0	0	3	7	3	3	1	8	6	0	0	5	0	3	1	0	10	4	1	4
Mushroom_Wars	0	0	0	0	0	0	0	10	1	1	0	0	0	0	0	1	0	0	1	4	0	6	1	0	0	3	3	0	1	0	0	0
Narrative	0	5	0	2	0	0	5	0	2	2	3	0	0	0	1	11	0	0	2	4	8	1	8	1	0	1	0	13	3	0	0	1
Narratology	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	1	2	0	1	2	0	0	1	0	7	1	0	0	1
NASA	0	0	0	1	0	2	6	0	2	22	21	0	0	0	4	24	17	1	5	23	2	1	1	2	0	1	0	0	20	0	0	5
National_Oceanic_and_Atmospheric_Administration	0	0	0	1	0	0	16	0	0	10	17	0	0	0	0	4	15	0	20	8	0	0	0	0	0	1	0	0	2	2	1	0
Newgrounds	0	0	0	0	1	0	0	3	4	8	3	0	0	0	3	5	0	0	4	2	0	21	1	4	0	1	3	0	6	2	0	1
Newsgame	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	7	0	22	0	0	0	1	1	0	1	0	0	0
Nim	0	0	0	3	0	0	0	25	0	1	1	4	0	0	0	3	0	1	2	2	6	74	0	2	0	6	0	0	1	0	1	0
Nimrod_(computing)	0	0	3	28	0	0	0	4	0	0	3	10	0	1	4	6	3	0	1	2	0	27	0	1	0	1	0	0	1	0	0	0
Nintendo_Entertainment_System	0	0	2	35	20	30	3	4	1	114	3	4	64	1	24	22	6	7	6	10	0	162	6	7	0	9	40	0	7	1	1	2
Nintendo_Gamecube	0	0	0	1	13	16	5	9	14	19	12	1	46	4	16	8	7	6	2	4	2	68	3	6	0	2	17	0	4	0	2	8
Nolan_Bushnell	0	3	0	11	4	0	1	0	4	5	3	2	1	1	3	10	8	0	1	7	0	26	0	31	2	4	2	0	7	1	0	1
North_American_video_game_crash_of_1983	0	0	0	20	8	2	0	1	2	13	5	1	19	1	1	27	1	0	2	5	0	56	1	5	0	1	4	0	2	0	0	1
Ohio_University	0	3	1	2	1	0	0	0	6	9	7	0	0	0	5	21	10	1	9	9	0	3	0	1	0	1	0	1	16	0	1	1
Online_game	0	2	3	9	9	1	3	6	110	3	3	0	9	2	7	9	1	0	5	15	1	101	6	2	0	1	2	1	9	0	0	1
Oscilloscope	0	0	0	6	2	0	4	0	1	2	2	0	0	0	2	7	1	1	3	5	10	0	0	0	0	1	0	0	15	10	0	4
OXO	0	0	1	12	0	1	0	1	0	0	0	0	0	0	0	9	1	0	3	2	0	22	0	0	0	1	0	0	1	0	1	0
PC_game	0	0	4	90	34	23	2	3	20	10	7	2	22	1	7	8	6	1	2	10	1	118	5	2	0	4	8	0	9	2	5	3
PDA	0	0	1	20	15	0	19	2	0	10	5	0	2	0	0	5	6	1	16	9	5	2	0	1	0	1	1	1	1	1	0	4
PDAs	0	0	1	20	15	0	19	2	0	10	5	0	2	0	0	5	6	1	16	9	5	2	0	1	0	1	1	1	1	1	0	4
PDP-1	0	0	0	31	2	4	5	0	1	7	2	2	3	0	3	21	0	2	2	2	1	2	0	1	0	2	0	2	3	1	1	1
Peripheral	0	5	3	17	15	4	2	0	0	9	3	4	0	0	4	1	2	0	12	5	1	3	0	0	0	1	0	0	1	0	0	0
Personal_computer	0	2	6	180	41	21	21	1	3	53	6	8	4	0	8	11	3	5	4	33	5	6	3	3	0	5	1	0	41	3	1	4
Personal_computer_game	0	0	4	91	34	23	2	3	20	10	7	2	23	1	7	8	6	1	2	10	1	120	5	2	0	4	8	0	9	2	5	3
Ping_pong	0	0	0	0	0	0	0	39	0	13	0	0	0	0	0	5	0	3	1	3	8	46	1	1	0	2	0	0	4	2	1	0
PlayStation_2	0	0	0	10	9	13	0	2	20	17	3	1	38	3	2	7	0	4	1	10	0	33	4	2	0	2	11	0	13	0	0	8
PlayStation_4	0	0	0	21	26	24	2	5	12	33	8	1	52	4	6	4	3	0	2	7	0	39	5	3	0	5	11	0	14	0	0	3
PlayStation_Eye	0	0	0	16	13	5	0	0	4	13	0	0	3	2	2	1	3	1	2	4	0	4	1	0	0	1	3	4	6	1	0	1
PlayStation_Network	0	0	1	2	7	5	1	2	25	16	1	0	3	3	1	3	1	0	4	4	0	28	2	0	0	3	0	0	7	0	1	1
Pong	0	0	1	11	0	2	0	5	0	4	6	3	6	1	3	30	3	1	2	2	3	77	4	12	0	14	11	1	1	3	0	3
PopCap_Games	0	0	0	2	2	1	0	7	1	1	7	0	0	5	0	3	0	0	1	5	1	24	1	5	0	1	2	0	4	0	0	7
Puzzle_video_game	0	0	1	6	0	0	0	10	3	0	0	2	0	0	3	8	0	0	1	5	1	66	11	0	0	3	4	0	2	0	0	4
Racing_wheel	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	4	0	4	0	0	0	1	0	0	1	0	0	1
Radar	0	0	0	1	0	1	0	0	0	14	8	2	0	0	8	16	14	0	10	11	4	0	0	1	0	2	0	0	7	0	0	1
Ralph_H_Baer	0	0	0	0	0	2	1	0	0	3	5	2	9	1	0	10	11	0	3	2	0	36	0	5	0	2	2	0	1	2	0	0
RAM	0	0	0	18	1	2	25	0	0	10	6	2	0	0	1	3	9	1	7	6	5	0	0	0	1	1	0	0	10	1	1	0
Raster_scan	0	0	0	7	0	0	5	0	0	19	0	0	0	0	0	6	1	1	2	6	0	0	0	0	0	1	0	2	2	20	0	0
Rockstar_Games	0	0	0	0	5	0	0	0	1	0	6	0	0	1	7	3	5	0	3	4	0	21	0	3	0	5	1	0	4	1	0	28
Rock_Band	0	0	0	0	7	2	0	31	7	4	6	1	5	2	0	6	1	5	1	6	2	116	1	11	2	13	39	5	13	1	1	49
Role-playing_video_game	0	0	1	56	2	0	0	52	16	31	12	1	42	4	7	29	3	3	11	11	14	169	41	1	2	10	19	49	8	4	1	48
Science_fiction_film	0	3	0	7	1	0	1	0	0	0	1	6	0	0	0	12	15	1	2	7	9	4	7	2	0	3	6	3	7	1	2	24
Second_Life	0	13	0	6	14	2	11	2	21	5	6	1	0	2	2	5	11	0	3	13	6	12	2	6	1	3	3	2	15	1	6	0
Sega_Dreamcast	0	1	1	7	14	34	7	2	33	33	26	4	64	8	5	17	5	1	3	3	3	134	6	22	1	10	18	1	4	2	2	13
Serious_game	0	0	4	6	1	0	0	2	4	4	3	0	1	1	9	6	3	0	2	3	0	104	4	0	0	5	0	0	1	0	0	6
Setting_(fiction)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	3	1	0	2	0	0	1	0	7	2	0	0	1
Shooter_game	0	0	1	1	0	0	1	12	4	1	1	0	0	0	0	2	1	0	1	4	1	47	7	0	0	1	0	5	1	0	0	8
Simulation_video_game	0	0	1	0	2	0	0	1	2	0	0	0	0	0	2	5	0	0	1	5	0	62	2	0	0	1	1	1	4	0	0	4
SingStar	0	1	0	4	2	2	0	4	11	4	2	0	4	0	2	1	7	2	2	3	0	35	0	0	1	6	10	1	3	0	0	10
Smartphone	0	2	0	18	14	2	10	1	2	36	9	7	2	2	5	9	6	0	5	27	2	2	0	5	1	6	21	0	29	4	2	6
